name,image,originalPrice,price,promotionId,discount,ratingScore,review,location,description,brandName,inStock
PCIE 3.0 Graphics Card Extension Cable High Speed 16X Adapter Cable,https://static-01.daraz.com.bd/p/4091d49b932b77635e5997c7a31b24a1.jpg,2825.00,1799.00,null,-36%,Not Available,0,China,[],No Brand,True
M.2 Riser Card M.2 NVME to PCIE X8 Dual Disk Hard Drive SSD Adapter Expansion Card for PCIE X8 X16K Slot Motherboard,https://static-01.daraz.com.bd/p/fdc10f45dd95e452aaaf879f7cebd5ea.jpg,3355.00,1810.00,null,-46%,Not Available,0,China,[],No Brand,True
Cimiva 2000W 4U Mining Power Supply Miner Graphics Card For Mining 180~260V-black single voltage,https://static-01.daraz.com.bd/p/45c872de85c7b66cf72d74a331722280.jpg,13151.00,10116.00,null,-23%,Not Available,0,China,"['1. Dual 12V design: The power supply adopts 12V 2.3 version dual 12V design, supports AMD quad-core CPU independent graphics interface, and supports wide power supply.', '2. Large circuit: built-in PFC, magnetic amplifier circuit, high suburban rate, low continuous wave.', '3. Multi-interface: support AMDATI, VIA, SIS and other full series of chip motherboards, support 6PIN and 6PIN multi-interface lines.', '4. Six protection functions: overvoltage, undervoltage, overcurrent, overload, short circuit, fulmination protection.', '5. Quiet heat dissipation: built-in 14CM heat dissipation black fan, ultra-quiet, very good heat dissipation, unique anti-cockroach, anti-insect design.']",Cimiva,True
GIGABYTE Radeon GV-R64EAGLE-4GD GDDR6 Graphics Card,https://static-01.daraz.com.bd/p/a8940a942277286551478b551db26c3d.png,25000.00,24800.00,null,-1%,Not Available,0,Bangladesh,"['GIGABYTE Radeon GV-R64EAGLE-4GD GDDR6 Graphics CardBoost Clock: up to 2321 MHz, Game Clock: up to 2039 MHz', 'Process Technology: 6 nm', 'Graphene nano lubricant', 'Output: DisplayPort 1.4 x1, HDMI 2.1 x1']",Gigabite,True
"Desktop Graphics Card-1 x Graphics Card
1 x CDBlack",https://static-01.daraz.com.bd/p/aa03371895d5ca0a225ad48717aacffc.jpg,10280.00,5335.00,null,-48%,Not Available,0,China,['DVI interface and VGA interface: can be connected to a monitor or LCD screen can be used.'],No Brand,True
Graphics Card GTX1060 3GB Video Card 192Bit GDDR5 GPU Video Card Desktop Computer Gaming Graphics Card,https://static-01.daraz.com.bd/p/ca294044be79dc76396f18d3ff749b23.png,12126.00,8084.00,null,-33%,Not Available,0,China,[],No Brand,True
XHHDQES GT210 1GB DDR2 64Bit Graphics Card PCIE 2.0 GPU HDMI-Compatible DVI VGA Desktop Video Card,https://static-01.daraz.com.bd/p/b2b146f32c63b25068ecb4bc3068d9b3.jpg,5223.00,3224.00,null,-38%,Not Available,0,China,[],No Brand,True
PELADN RTX 3060Ti GDDR6X 8G Graphics Card Desktop GPU RTX 3060 Ti Gaming Card Gaming Card,https://static-01.daraz.com.bd/p/73bc2fc9609ba84e54ac98754d0e101e.png,163090.00,86750.00,null,-47%,Not Available,0,China,[],No Brand,True
GT210 1GB Graphics Card GT210 1GB GDDR3 64Bit Graphics Card DVI-D+VGA+HD Desktop Video Card,https://static-01.daraz.com.bd/p/b2077514c2e24cb8ce019b076fbd0165.png,5140.00,3274.00,null,-36%,Not Available,0,China,[],No Brand,True
Graphics Card RX580 8GB 2048SP HD Game Graphics Card DDR5 256BIT Desktop Computer Graphics Card PCI Express 3.0 16X Graphics Card,https://static-01.daraz.com.bd/p/17881f51641fdbe1920b76bad442f7c4.jpg,20892.00,10446.00,null,-50%,Not Available,0,China,[],No Brand,True
