brand,title,stock_status,product_price,cash_discount_price,emi_price,processor,webcam,warranty,url
Lenovo,Lenovo ThinkPad E14 14-inch Full HD display core i5 10th Gen 8GB RAM 1 TB HDD Laptop,Out Of Stock,,Not Available,Not Available,"10th Generation Intel Core i5-10210U Processor (1.60GHz, up to 4.20GHz with Turbo Boost, 4 Cores, 6MB Cache)",720p HD,2 Years,https://www.techlandbd.com/lenovo-thinkpad-e14-i5-1tb-hdd-laptop
Lenovo,Lenovo V14-ADA 14 inch Full HD Display AMD Athlon 3020E 4GB RAM 1TB HDD Laptop,Out Of Stock,,Not Available,Not Available,"AMD 3020e Processor (4M Cache, 1.20Hz up to 2.60 GHz)","0.3 MP fixed focus webcam with Single microphone
",02 year warranty ,https://www.techlandbd.com/lenovo-v14-ada-laptop
Lenovo,Lenovo V15 IIL 15.6 Inch HD Display Core i3 10th Gen 4GB RAM 1TB HDD Laptop,Out Of Stock,,Not Available,Not Available,"Intel Core i3-1005G1 1.2 GHz, up to 3.4 GHz (turbo boast)
","0.3 MP fixed focus webcam with Single microphone
",01 year warranty ,https://www.techlandbd.com/lenovo-v15-iil-laptop
Lenovo,Lenovo V14-ADA 14 inch HD Display Ryzen 3 3250U 4GB RAM 1TB HDD Laptop,Out Of Stock,,Not Available,Not Available,"AMD Ryzen 3 3250U Processor (4M Cache, 2.6 GHz up to 3.50 GHz)","0.3 MP fixed focus webcam with Single microphone
",02 year warranty ,https://www.techlandbd.com/lenovo-v14-ada-ryzen-3-laptop
Lenovo,LENOVO V15 15.6 INCH FULL HD DISPLAY RYZEN 3 4GB RAM 256GB SSD LAPTOP WITH AMD RADEON GRAPHICS,Up Coming,,Not Available,Not Available,"AMD Ryzen 3 5300U Mobile Processors with Radeon Graphics (4 MB cache, 2.1 GHz up to 3.5 GHz)","0.3 MP fixed focus webcam with Single microphone
",01 year warranty ,https://www.techlandbd.com/lenovo-v15-ryzen-3-laptop
Dell,DELL XPS 15 9520 15.6 INCH 3.5K OLED DISPLAY INTEL I7 12TH GEN 16GB RAM 512GB SSD LAPTOP WITH RTX 3050 TI 4GB GRAPHICS,Up Coming,,Not Available,Not Available,"Intel Core i7 12700H 4.60GHz
(Core 14 Thread 20)
","HD Webcam
","2 Year (2 Year for Battery and Adapter)
",https://www.techlandbd.com/dell-xps-15-9520-intel-i9-12th-gen-touch-laptop
Asus,Asus VivoBook S14 S433EQ 14 inch FHD Core i7 11th Gen 16GB RAM 512GB SSD Laptop with NVIDIA MX350 2GB GDDR5 graphics,Out Of Stock,,Not Available,Not Available,"Intel Core i7-1165G7 Processor (12M Cache, 2.80 GHz up to 4.70 GHz)
","720p HD camera
","02 years International Limited Warranty (Battery & Adapter)
",https://www.techlandbd.com/asus-vivobook-s14-s433eq-laptop
Dell,DELL XPS 15 9520 15.6 INCH 3.5K OLED TOUCH DISPLAY INTEL I9 12TH GEN 16GB RAM 512GB SSD LAPTOP WITH RTX 3050 TI 4GB GRAPHICS CARD,Out Of Stock,,Not Available,Not Available,"Intel Core i9 12900HK 5.00GHz
(Core 14 Thread 20)
","HD Webcam
","2 Year (2 Year for Battery and Adapter)
",https://www.techlandbd.com/dell-xps-15-9520-intel-i9-12th-gen-laptop
Asus,ASUS ZENBOOK PRO 16X OLED UX7602ZM-ME132W 16 INCH OLED 4K DISPLAY 32GB RAM 1TB SSD LAPTOP WITH RTX 3060 6GB GRAPHICS,Up Coming,,Not Available,Not Available,Intel i9-12900H 2.5 GHz up to 5.0 GHz ,"FHD camera with IR function to support Windows Hello
",3 years,https://www.techlandbd.com/asus-zenbook-pro-16x-oled-ux7602zm-me132w-laptop
Acer,Acer Aspire 3 A315 57G 59Z2 15.6 inch Full HD Display Core i5 10th Gen 8GB RAM 1TB HDD Laptop With MX330 2GB Graphics,Out Of Stock,,Not Available,Not Available,"Intel Core i5-1035G1 Processor(6M Cache, up to 3.60 GHz)","HD webcam with 640 x 480 resolution
",02 Years Warranty (Adapter 1 year)),https://www.techlandbd.com/acer-aspire-3-a315-57g-59z2-i5-laptop
