titles,availability,originalPrices,discounts,discountPrices
"Duranta CB Energy 12"" Kids Bicycle With Basket",Out of stock,"6,150.00",Not Available,"6,150.00"
"Duranta Motobike 16"" Bicycle",Out of stock,"8,905.00",Not Available,"8,905.00"
Duranta Steel 1-Spd Girls 12 Pink,Out of stock,"6,020.00",Not Available,"6,020.00"
"Duranta Steel 1-Spd Scool-M-20.01-Black,804091",Out of stock,"9,415.00",Not Available,"9,415.00"
804414	Duranta Steel 1-Spd Master 26 Red,Out of stock,"9,480.00",Not Available,"9,480.00"
"Duranta Bixo 12"" Bicycle(Red)",Out of stock,"6,400.00",Not Available,"6,400.00"
Duranta Steel 1-Spd Ryan Plus 16 Green,Out of stock,"7,110.00",Not Available,"7,110.00"
Duranta Steel 1-Spd Premier-M-16.02-Red,Out of stock,"6,790.00",Not Available,"6,790.00"
847729	Duranta Alloy 21-Spd Spaark 26M-10 CKD FS MW Grn,Out of stock,"19,390.00",Not Available,"19,390.00"
	Training Wheel & Bracket-20In-D,Out of stock,240.00,Not Available,240.00
"Duranta Predator 26"" (Multi speed) 747667",Out of stock,"11,700.00",Not Available,"11,700.00"
